article_id,outlet,sentence,mention,label,probability
0,AP,Americans frustrated over high prices await the change Trump has promised.,Trump,negative,0.5572
0,AP,"Control over the House of Representatives is still up for grabs.
- AP VoteCast: Democracy was a motivating factor for both Harris and Trump voters, but for very different reasons.",Trump,neutral,0.4673
0,AP,"She has since become a leading voice for transgender rights across the country, helping fight against a torrent of anti-trans rhetoric on the presidential campaign trail from Donald Trump and his allies.",Donald Trump,negative,0.8863
0,AP,"She has warned voters that another Trump presidency could further erode democracy on a national level, citing the then-president’s role in the Jan. 6, 2021, riot at the U.S. Capitol.",Trump,negative,0.9854
0,AP,"Trump’s vice presidential pick, Ohio Sen. JD Vance, has said he does not think his running mate lost the 2020 election, echoing Trump’s false claims that the prior presidential election was stolen from him.",Trump,negative,0.9455
0,AP,"Trump’s vice presidential pick, Ohio Sen. JD Vance, has said he does not think his running mate lost the 2020 election, echoing Trump’s false claims that the prior presidential election was stolen from him.",Trump,negative,0.9587
1,AP,"The district supported Trump in 2020’s presidential election, making Cartwright just one of five Democrats nationally running for reelection in a Trump district.",Trump,neutral,0.6351
1,AP,"The district supported Trump in 2020’s presidential election, making Cartwright just one of five Democrats nationally running for reelection in a Trump district.",Trump,neutral,0.6351
1,AP,"Perry was chairman of the Freedom Caucus, a hardline faction of conservatives and was the only lawmaker to have his cellphone seized by FBI agents investigating the web of Trump loyalists who were central to his bid to remain in power in 2020.",Trump,negative,0.9783
2,AP,Sanders is a strong critic of former President Donald Trump and endorsed Vice President Kamala Harris after President Joe Biden dropped out of the race.,Donald Trump,negative,0.9339
3,CNN,"Kamala Devi Harris
Padre: Donald Harris, profesor de Economía.",Donald,neutral,0.9242
5,CNN,"“I’m worried about a Trump presidency,’’ said Elliott, a mother of two teenagers and owner of a gift shop in Swarthmore.",Trump,negative,0.9142
5,CNN,"Former President Donald Trump is its lightning rod.
Elliott: “I see how he treats people and bullies people, and these are things I tell my teenage kids not to do.",Donald Trump,negative,0.9298
5,CNN,"Caparra: “I wish they could, quite honestly, get over some of Trump’s bad behavior and look at the broader sense of what he means.",Trump,negative,0.9838
5,CNN,We quickly and then constantly were reminded that Trump’s support is more diverse and more complicated than most of his critics understand.,Trump,negative,0.6244
5,CNN,"Diehard Trump supporters see him as their voice, and they echo his often harsh language about immigrants as well as his lies about stolen and rigged elections and the prosecutions against him.",Trump,negative,0.8156
5,CNN,Holding their noses and voting Trump,Trump,neutral,0.673
5,CNN,But we also met many Trump critics who in the end will be Trump voters because they say Vice President Kamala Harris and Democrats pose a greater threat than Trump’s toxic behavior.,Trump,negative,0.9761
5,CNN,But we also met many Trump critics who in the end will be Trump voters because they say Vice President Kamala Harris and Democrats pose a greater threat than Trump’s toxic behavior.,Trump,negative,0.9761
5,CNN,But we also met many Trump critics who in the end will be Trump voters because they say Vice President Kamala Harris and Democrats pose a greater threat than Trump’s toxic behavior.,Trump,negative,0.9782
5,CNN,She was hopeful at the beginning that Republicans would move on from Trump and the behavior she said filled her liberal friends with fear.,Trump,negative,0.9684
5,CNN,But Trump coasted to the nomination and will get Ebersole’s vote on Tuesday because she sees Harris as an activist liberal.,Trump,negative,0.6073
5,CNN,"Economic concerns dominate
If Trump wins, voters like Joseph Knowles and Brian McMutuary will be part of his comeback math too.",Trump,positive,0.7925
5,CNN,McMutuary is also Black and also was a lifelong Democrat until he voted for Trump in 2020.,Trump,neutral,0.8887
5,CNN,He disagrees with Trump on abortion and immigration but sees him as a stronger leader on the world stage and remembers prices as lower when Trump was president.,Trump,negative,0.6326
5,CNN,He disagrees with Trump on abortion and immigration but sees him as a stronger leader on the world stage and remembers prices as lower when Trump was president.,Trump,negative,0.6326
